Périmètre,Surface évaluée,Volume
"36,833","75,37054939","97,98171421"
"22,41","27,90045","36,270585"
"24,812","34,20196356","44,46255262"
"23,79","31,44245","40,875185"
"21,962","26,79608022","34,83490429"
"22,387","27,84320939","36,19617221"
"21,644","26,02570756","33,83341982"
"26,368","38,62619022","50,21404729"
"25,182","35,229618","45,7985034"
"29,406","48,039602","62,4514826"
"24,072","32,192288","41,8499744"
"28,252","44,34308356","57,64600862"
"18,695","19,41683472","25,24188514"
"21,316","25,24288089","32,81574516"
"27,344","41,53857422","54,00014649"
"26,257","38,30166939","49,79217021"
"25,137","35,1038205","45,63496665"
24,32,"41,6"
"30,312","51,045408","66,3590304"
"27,052","40,65615022","52,85299529"
"28,651","45,60443339","59,28576341"
"29,795","49,31900139","64,11470181"
"28,863","46,2818205","60,16636665"
"26,967","40,4010605","52,52137865"
"29,87","49,56760556","64,43788722"
"31,751","56,00700006","72,80910007"
"23,912","31,76576356","41,29549262"
"30,94","53,18242222","69,13714889"
"17,672","17,34997689","22,55496996"
"19,68","21,5168","27,97184"
"20,203","22,67562272","29,47830954"
"43,896","107,047712","139,1620256"
"21,542","25,78098689","33,51528296"
"24,828","34,246088","44,5199144"
"23,117","29,68864939","38,59524421"
"23,329","30,23568006","39,30638407"
"21,963","26,7985205","34,83807665"
"33,628","62,82457689","81,67194996"
"30,367","51,23081606","66,60006087"
"21,582","25,876818","33,6398634"
"20,586","23,543522","30,6065786"
"35,674","70,70190422","91,91247549"
"25,305","35,5746125","46,24699625"
"18,974","20,00070422","26,00091549"
"20,245","22,77000139","29,60100181"
"21,478","25,62802689","33,31643496"
"16,951","15,96313339","20,75207341"
"19,465","21,04923472","27,36400514"
"23,059","29,53986006","38,40181807"
"21,484","25,64234756","33,33505182"
"19,967","22,14894939","28,79363421"
"25,688","36,65963022","47,65751929"
"28,047","43,7019005","56,81247065"
"29,266","47,58326422","61,85824349"
"27,89","43,21400556","56,17820722"
"25,887","37,2298205","48,39876665"
"28,524","45,201032","58,7613416"
"28,543","45,26126939","58,83965021"
"23,996","31,98933422","41,58613449"
"27,464","41,90396089","54,47514916"
"29,098","47,03853356","61,15009362"
"29,872","49,57424356","64,44651662"
"32,871","60,0279245","78,03630185"
"21,692","26,14127022","33,98365129"
"32,597","59,03135606","76,74076287"
"21,158","24,87005356","32,33106962"
"27,936","43,356672","56,3636736"
"23,991","31,9760045","41,56880585"
"35,229","68,9490245","89,63373185"
"26,088","37,810208","49,1532704"
"31,701","55,8307445","72,57996785"
"23,782","31,42130689","40,84769896"
"34,421","65,82251339","85,56926741"
"35,312","69,27429689","90,05658596"
"27,008","40,52400356","52,68120462"
"28,818","46,137618","59,9789034"
"31,75","56,00347222","72,80451389"
"24,054","32,144162","41,7874106"
"19,026","20,110482","26,1436266"
"17,827","17,65566272","22,95236154"
"25,595","36,39466806","47,31306847"
"21,505","25,69250139","33,40025181"
"26,53","39,10227222","50,83295389"
"20,607","23,5915805","30,66905465"
"24,481","33,29552006","43,28417607"
"31,186","54,03147756","70,24092082"
"27,486","41,971122","54,5624586"
"39,339","85,9753845","111,7679999"
"18,726","19,481282","25,3256666"
"29,49","48,31445","62,808785"
"24,181","32,48448672","42,22983274"
"24,858","34,328898","44,6275674"
"21,876","26,586632","34,5626216"
"32,327","58,05749606","75,47474487"
"23,519","30,73018672","39,94924274"
"17,912","17,82443022","23,17175929"
"13,278","9,794738","12,7331594"
"17,25","16,53125","21,490625"
"25,611","36,4401845","47,37223985"
"27,623","42,39056272","55,10773154"
"22,256","27,51830756","35,77379982"
"26,645","39,44200139","51,27460181"
"38,209","81,10709339","105,4392214"
"18,807","19,6501805","25,54523465"
"23,176","29,84038756","38,79250382"
"24,009","32,0240045","41,63120585"
"30,733","52,47318272","68,21513754"
"22,324","27,68672089","35,99273716"
"25,387","35,80554272","46,54720554"
"24,302","32,81040022","42,65352029"
"29,678","48,93242689","63,61215496"
"33,325","61,69753472","80,20679514"
"24,049","32,13080006","41,77004007"
"24,068","32,18159022","41,83606729"
"25,856","37,14070756","48,28291982"
"27,15","40,95125","53,236625"
"29,758","49,19658689","63,95556296"
"22,746","28,743362","37,3663706"
"25,835","37,08040139","48,20452181"
"22,12","27,18302222","35,33792889"
"26,36","38,60275556","50,18358222"
"32,193","57,5771805","74,85033465"
"28,997","46,71255606","60,72632287"
"32,237","57,73467606","75,05507887"
"24,323","32,86712939","42,72726821"
"25,626","36,482882","47,4277466"
"25,146","35,128962","45,6676506"
"25,608","36,431648","47,3611424"
"33,729","63,2025245","82,16328185"
"31,646","55,63718422","72,32833949"
"40,58","91,48535556","118,9309622"
"24,001","32,00266672","41,60346674"
"13,803","10,5846005","13,75998065"
"34,605","66,5281125","86,48654625"
"26,389","38,68774006","50,29406207"
"33,216","61,294592","79,6829696"
"21,823","26,45796272","34,39535154"
"33,005","60,51833472","78,67383514"
"24,308","32,82660356","42,67458462"
"21,734","26,24259756","34,11537682"
"30,038","50,12674689","65,16477096"
"26,431","38,81098672","50,45428274"
"19,227","20,5376405","26,69893265"
"27,617","42,37214939","55,08379421"
"26,116","37,89141422","49,25883849"
"30,563","51,89427606","67,46255887"
"29,9","49,66722222","64,56738889"
"23,878","31,67549356","41,17814162"
"35,644","70,58304089","91,75795316"
"29,784","49,282592","64,0673696"
"26,456","38,88444089","50,54977316"
"25,568","36,31792356","47,21330062"
"30,005","50,01666806","65,02166847"
"21,711","26,1870845","34,04320985"
"33,061","60,72387339","78,94103541"
"24,142","32,37978689","42,09372296"
"24,364","32,97802756","42,87143582"
"17,728","17,46011022","22,69814329"
"19,68","21,5168","27,97184"
"23,181","29,8532645","38,80924385"
"16,358","14,86578689","19,32552296"
"20,804","24,04480089","31,25824116"
"25,449","35,9806445","46,77483785"
"13,57","10,23027222","13,29935389"
"24,113","32,30204272","41,99265554"
"20,092","22,42713689","29,15527796"
"24,354","32,950962","42,8362506"
"25,226","35,35283756","45,95868882"
"21,2","24,96888889","32,45955556"
"23,255","30,04416806","39,05741847"
"22,445","27,98766806","36,38396847"
"16,755","15,5961125","20,27494625"
"21,034","24,57939756","31,95321682"
"29,66","48,87308889","63,53501556"
"22,082","27,08970689","35,21661896"
"27,748","42,77508356","55,60760862"
"17,853","17,7072005","23,01936065"
"20,412","23,147208","30,0913704"
"22,195","27,36766806","35,57796847"
"21,785","26,36590139","34,27567181"
"30,784","52,64748089","68,44172516"
"28,682","45,70317356","59,41412562"
"24,367","32,98614939","42,88199421"
"22,46","28,02508889","36,43261556"
"27,574","42,24030422","54,91239549"
"28,783","46,02561606","59,83330087"
"23,964","31,904072","41,4752936"
"27,022","40,56602689","52,73583496"
"29,576","48,59665422","63,17565049"
"33,142","61,02178689","79,32832296"
"24,9","34,445","44,7785"
"29,778","49,262738","64,0415594"
"27,82","42,99735556","55,89656222"
"29,928","49,760288","64,6883744"
"26,414","38,76107756","50,38940082"
"26,892","40,176648","52,2296424"
"17,489","16,99250672","22,09025874"
"26,015","37,59890139","48,87857181"
"29,305","47,71016806","62,02321847"
"26,32","38,48568889","50,03139556"
"21,17","24,89827222","32,36775389"
"30,058","50,19352022","65,25157629"
"30,818","52,76384022","68,59299229"
"28,979","46,65458006","60,65095407"
"29,59","48,64267222","63,23547389"
"29,868","49,560968","64,4292584"
"34,436","65,87989422","85,64386249"
"22,464","28,035072","36,4455936"
"23,217","29,9460605","38,92987865"
"32,267","57,84218272","75,19483754"
"25,885","37,22406806","48,39128847"
"34,134","64,729442","84,1482746"
"21,666","26,078642","33,9022346"
"20,975","24,44170139","31,77421181"
"26,698","39,59906689","51,47878696"
"25,997","37,54688939","48,81095621"
"22,913","29,16697606","37,91706887"
"21,879","26,5939245","34,57210185"
"18,252","18,507528","24,0597864"
"27,766","42,83059756","55,67977682"
"27,239","41,22017339","53,58622541"
"28,874","46,31710422","60,21223549"
"26,923","40,26932939","52,35012821"
"30,412","51,38276356","66,79759262"
"26,075","37,77253472","49,10429514"
"24,03","32,08005","41,704065"
"20,098","22,44053356","29,17269362"
"28,996","46,70933422","60,72213449"
"19,075","20,21420139","26,27846181"
"24,097","32,25918939","41,93694621"
"28,229","44,27091339","57,55218741"
"27,871","43,15514672","56,10169074"
"31,417","54,83488272","71,28534754"
"21,405","25,4541125","33,09034625"
"27,202","41,10826689","53,44074696"
"32,155","57,44133472","74,67373514"
"26,313","38,4652205","50,00478665"
"25,125","35,0703125","45,59140625"
"15,328","13,05264356","16,96843662"
"26,983","40,44901606","52,58372087"
"31,392","54,747648","71,1719424"
"25,845","37,1091125","48,24184625"
"26,464","38,90796089","50,58034916"
"32,755","59,60500139","77,48650181"
"18,895","19,83450139","25,78485181"
"29,954","49,84678422","64,80081949"
"24,765","34,0725125","44,29426625"
"25,708","36,71673689","47,73175796"
"31,799","56,17646672","73,02940674"
"32,151","57,4270445","74,65515785"
"32,356","58,16170756","75,61021982"
"33,981","64,1504645","83,39560385"
"31,965","56,7645125","73,79386625"
"22,347","27,7438005","36,06694065"
"22,471","28,05254672","36,46831074"
"30,039","50,1300845","65,16910985"
"34,864","67,52769422","87,78600249"
"33,747","63,2700005","82,25100065"
"23,905","31,74716806","41,27131847"
"23,858","31,62245356","41,10918962"
"30,353","51,18358939","66,53866621"
"23,794","31,45302422","40,88893149"
"28,289","44,45930672","57,79709874"
"29,947","49,82348939","64,77053621"
"29,804","49,34880089","64,15344116"
"31,76","56,03875556","72,85038222"
"28,947","46,5516005","60,51708065"
"21,61","25,94400556","33,72720722"
"31,105","53,75116806","69,87651847"
"20,527","23,40876272","30,43139154"
"21,864","26,557472","34,5247136"
"26,211","38,1675845","49,61785985"
"22,956","29,276552","38,0595176"
"29,885","49,61740139","64,50262181"
"20,845","24,13966806","31,38156847"
"15,931","14,09982006","18,32976607"
"28,813","46,12160939","59,95809221"
"24,549","33,4807445","43,52496785"
"28,725","45,8403125","59,59240625"
"27,054","40,662162","52,8608106"
"25,208","35,30240356","45,89312462"
"23,994","31,984002","41,5792026"
"40,612","91,62969689","119,118606"
"29,96","49,86675556","64,82678222"
"21,716","26,19914756","34,05889182"
"25,995","37,5411125","48,80344625"
"19,735","21,63723472","28,12840514"
"26,749","39,75050006","51,67565007"
"26,245","38,26666806","49,74666847"
"24,265","32,71056806","42,52373847"
"25,587","36,3719205","47,28349665"
"27,072","40,716288","52,9311744"
"33,345","61,7716125","80,30309625"
"19,282","20,65530689","26,85189896"
"25,299","35,5577445","46,22506785"
"16,679","15,45494672","20,09143074"
"19,777","21,72942939","28,24825821"
"17,762","17,52714689","22,78529096"
"17,427","16,8722405","21,93391265"
"19,524","21,177032","27,5301416"
"28,818","46,137618","59,9789034"
"26,768","39,80699022","51,74908729"
"27,535","42,12090139","54,75717181"
"27,296","41,39286756","53,81072782"
"29,798","49,32893356","64,12761362"
"31,797","56,1694005","73,02022065"
"23,873","31,66222939","41,16089821"
"23,861","31,63040672","41,11952874"
"32,289","57,9210845","75,29740985"
"30,897","53,0347005","68,94511065"
"29,871","49,5709245","64,44220185"
"24,088","32,23509689","41,90562596"
"28,932","46,503368","60,4543784"
"20,397","23,1132005","30,04716065"
"21,521","25,73074672","33,44997074"
"28,149","44,0203445","57,22644785"
"24,016","32,04268089","41,65548516"
"25,551","36,2696445","47,15053785"
"28,152","44,029728","57,2386464"
"28,443","44,9446805","58,42808465"
"29,686","48,95881089","63,64645416"
"28,485","45,0775125","58,60076625"
"18,907","19,85970272","25,81761354"
"22,984","29,34801422","38,15241849"
"24,348","32,934728","42,8151464"
"23,984","31,95734756","41,54455182"
,,
,,"16481,70407"